0	1	3.000000
0	2	10.000000
0	3	9.000000
0	4	7.000000
0	5	17.000000
0	6	4.000000
0	7	6.000000
0	8	7.000000
0	10	3.000000
0	11	8.000000
0	12	2.000000
0	13	2.000000
0	17	14.000000
0	19	8.000000
0	21	7.000000
0	31	14.000000
1	2	8.000000
1	3	4.000000
1	7	6.000000
1	13	4.000000
1	17	4.000000
1	19	2.000000
1	21	9.000000
1	30	4.000000
2	3	7.000000
2	32	9.000000
2	7	11.000000
2	8	11.000000
2	9	8.000000
2	13	8.000000
2	27	8.000000
2	28	7.000000
3	7	7.000000
3	12	3.000000
3	13	3.000000
4	10	2.000000
4	6	4.000000
5	16	2.000000
5	10	5.000000
5	6	4.000000
6	16	3.000000
8	32	4.000000
8	30	2.000000
8	33	3.000000
9	33	3.000000
13	33	6.000000
14	32	2.000000
14	33	3.000000
15	32	3.000000
15	33	3.000000
18	32	3.000000
18	33	3.000000
19	33	2.000000
20	32	2.000000
20	33	2.000000
22	32	3.000000
22	33	2.000000
23	32	4.000000
23	25	5.000000
23	27	3.000000
23	29	5.000000
23	33	4.000000
24	25	3.000000
24	27	4.000000
24	31	4.000000
25	31	4.000000
26	33	2.000000
26	29	3.000000
27	33	4.000000
28	33	4.000000
28	31	4.000000
29	32	5.000000
29	33	2.000000
30	33	5.000000
30	32	4.000000
31	33	6.000000
31	32	4.000000
32	33	13.000000
123	124	2.000000
